filename,question,options,answer,category,id
BNATURE_4727.jpg,ছবিতে কি দেখা যাচ্ছে?,"['বৃষ্টির পানিতে রোড ভরা পানি', 'বন্যা', 'দৌড় প্রতিযোগিতা', 'স্বাভাবিক চলাফেরা']",বৃষ্টির পানিতে রোড ভরা পানি,Social Life,P6BN4727
BNATURE_4728.jpg,ছবিতে বাচ্চাটি কি করতেছে?,"['বাইরে তাকিয়ে আছে', 'কান্না করছে', 'পুকুরে সাতার কাটছে', 'ছবি আকছে']",বাইরে তাকিয়ে আছে,Social Life,P6BN4728
BNATURE_4729.jpg,ছেলেটি পুকুরে কি করছে?,"['গোসল', 'সাতার', 'বই নিয়ে পার হচ্ছে', 'গাছ থেকে লাফ দিচ্ছে']",বই নিয়ে পার হচ্ছে,Social Life,P6BN4729
BNATURE_473.jpg,ছবিতে প্রদর্শিত চড়ক পূজা বাংলাদেশের কোন সম্প্রদায়ের সাথে বিশেষভাবে জড়িত?,"['পার্বত্য চট্টগ্রামের আদিবাসী সম্প্রদায়', 'হিন্দু সম্প্রদায়, বিশেষ করে গ্রামীণ এলাকায়', 'বৌদ্ধ সম্প্রদায়, বিশেষ করে দক্ষিণ-পূর্ব অঞ্চলে', 'মুসলিম সম্প্রদায়, একটি সমন্বিত লোক ঐতিহ্য উদযাপন']","হিন্দু সম্প্রদায়, বিশেষ করে গ্রামীণ এলাকায়",Cultural Festivals,P6BN473
BNATURE_4730.jpg,কাদের দেখা যাচ্ছে?,"['স্কুলের বাচ্চাদের', 'শহিদদের', 'রাজনীতিবীদ', 'কলেজের ছাত্র']",স্কুলের বাচ্চাদের,Social Life,P6BN4730
BNATURE_4732.jpg,আঞ্চলিক জায়গায় নারীরা কি কাপড পরতে বেশি পছন্দ করে?,"['শাড়ি', 'জিন্স', 'শার্ট', 'নাইটি']",শাড়ি,Social Life,P6BN4732
BNATURE_4733.jpg,শুটকি কোন শহরে বেশি পাওয়া যায়?,"['ঢাকা', 'সিলেট', 'চট্টগ্রাম', 'যশোর']",চট্টগ্রাম,Food,P6BN4733
BNATURE_4734.jpg,বাচ্ছা ছেলেটি কি নিয়ে যাচ্ছে ?,"['আম', 'কলা', 'নারিকেল', 'ডাব']",আম,Social Life,P6BN4734
BNATURE_4735.jpg,ছবিতে প্রদর্শিত দৃশ্যটি বাংলাদেশের গ্রামীণ জীবনের কোন দিকটির প্রতীক হতে পারে?,"['আধুনিকতার সাথে ঐতিহ্যের মিশ্রণ', 'নাগরিক জীবনের ব্যস্ততা', 'প্রাকৃতিক সৌন্দর্যের প্রাচুর্য', 'ঐতিহাসিক স্থাপত্যের নিদর্শন']",প্রাকৃতিক সৌন্দর্যের প্রাচুর্য,Nature,P6BN4735
BNATURE_4736.jpg,"ছবিটি যদি বাংলাদেশের কোনো নদীর ধারের দৃশ্য হয়, তবে এর প্রধান বৈশিষ্ট্য কী হতে পারে?","['ঐতিহাসিক তাৎপর্য', 'নৌ-পরিবহন ও মাছ ধরা', 'প্রাকৃতিক সৌন্দর্য ও পর্যটন', 'কৃষি ও সেচ ব্যবস্থা']",প্রাকৃতিক সৌন্দর্য ও পর্যটন,Nature,P6BN4736
